سلام وطندار Radio Salam Watandar FM 98.9	Kabul	Afghanistan	34.555	69.207	https://s10.myradiostream.com/12238/;
Radio Bizarro	Santo Domingo	Dominican Republic	18.486	-69.931	https://s4.radio.co/se4f9a0224/listen
Radio Cima 100.5 FM	Santo Domingo	Dominican Republic	18.486	-69.931	https://sonicpanel.streaming10.net/8146/stream
Radio Disney FM 97.3	Santo Domingo	Dominican Republic	18.486	-69.931	https://stream.zeno.fm/zky9fvlfkootv
Radio Educativa Dominicana 95.3	Santo Domingo	Dominican Republic	18.486	-69.931	https://sonicpanel.tmcreativos.com/8080/stream
Radio Espacial	Santo Domingo	Dominican Republic	18.486	-69.931	https://listen.usuarios.space/radioespacial/
Radio Eternidad	Santo Domingo	Dominican Republic	18.486	-69.931	https://cast5.my-control-panel.com/proxy/radioete/stream
Radio Haiti Soukem 98.1 FM	Santo Domingo	Dominican Republic	18.486	-69.931	https://stream.zeno.fm/n7e6umw1ruquv
Radio Humilité	Santo Domingo	Dominican Republic	18.486	-69.931	https://stream.zeno.fm/qhlllaz21cmuv
Radio Maria Rep Dominicana	Santo Domingo	Dominican Republic	18.486	-69.931	https://dreamsiteradiocp4.com/proxy/rmrepdom?mp=/stream
Ritmo 96.5 FM	Santo Domingo	Dominican Republic	18.486	-69.931	https://stream.zeno.fm/y0br5ck4ququv
Romantica 103 FM	Santo Domingo	Dominican Republic	18.486	-69.931	https://radio.dominiserver.com/proxy/romantica103fm/stream
Rumba FM 98.5	Santo Domingo	Dominican Republic	18.486	-69.931	https://stream.zeno.fm/eticl2rpposvv
Sabora Merengue	Santo Domingo	Dominican Republic	18.486	-69.931	https://radiordomi.com/8542/stream
Samantha Radio Online	Santo Domingo	Dominican Republic	18.486	-69.931	https://radio.dominiserver.com/proxy/samantharadio?mp=/;/stream
Sentido 89.3 FM	Santo Domingo	Dominican Republic	18.486	-69.931	https://stream.zeno.fm/vghmq0fffvftv
Ser Mejor Radio	Santo Domingo	Dominican Republic	18.486	-69.931	https://stream.rcast.net/61183
Suena Radio RD	Santo Domingo	Dominican Republic	18.486	-69.931	https://stream.zeno.fm/8n5yztrw4tzuv
Super Radio 100.7 FM	Santo Domingo	Dominican Republic	18.486	-69.931	https://radiordomi.com:8666/stream
Todo Exito 103.5 FM	Santo Domingo	Dominican Republic	18.486	-69.931	https://stream.zeno.fm/qe4fft27fb5tv
Top Bachata Radio	Santo Domingo	Dominican Republic	18.486	-69.931	https://radio.dominiserver.com/proxy/topbachata?mp=/stream
Top Balada Radio	Santo Domingo	Dominican Republic	18.486	-69.931	https://radio.dominiserver.com/proxy/topbaladaradio?mp=/stream
Top Cristiano Radio	Santo Domingo	Dominican Republic	18.486	-69.931	https://radio.dominiserver.com/proxy/topcristianoradio?mp=/stream
Top Latina 101.7 FM	Santo Domingo	Dominican Republic	18.486	-69.931	https://stream.zeno.fm/rprhbqiwozovv
Top Merengue Radio	Santo Domingo	Dominican Republic	18.486	-69.931	https://radio.dominiserver.com/proxy/topmerengueradio?mp=/stream
Top Salsa Radio	Santo Domingo	Dominican Republic	18.486	-69.931	https://radio.dominiserver.com/proxy/topsalsaradio?mp=/stream
Top Urbano Radio	Santo Domingo	Dominican Republic	18.486	-69.931	https://radio.dominiserver.com/proxy/topurbano?mp=/stream
WAO 89.1 Radio	Santo Domingo	Dominican Republic	18.486	-69.931	https://stream.zeno.fm/pkxlvgeiocstv
Z 101 FM	Santo Domingo	Dominican Republic	18.486	-69.931	https://streaming.z101digital.com/z101
ZOL 106.5 FM	Santo Domingo	Dominican Republic	18.486	-69.931	https://stream.zeno.fm/w6x7q7dtpy5tv
Live Music Radio	Villa Isabela	Dominican Republic	19.815	-71.060	https://jm8n.net:7012/stream
Planeta X Music Station	Villa Isabela	Dominican Republic	19.815	-71.060	https://audio.jcrdmedia.com/8006/stream
Colosal 1040 AM	Ambato	Ecuador	-1.254	-78.623	https://streamingecuador.net:9062/radiocolosal
Galera Online.EC	Ambato	Ecuador	-1.254	-78.623	https://rr5100.globalhost1.com:8056/stream
Indoamerica Radio 90.5 FM	Ambato	Ecuador	-1.254	-78.623	https://rr5100.globalhost1.com/8260/stream
MarBal Streaming	Ambato	Ecuador	-1.254	-78.623	https://sonic.host-live.com/8244/stream
Radio Ambato	Ambato	Ecuador	-1.254	-78.623	http://190.99.72.142:8000/radioambato
Radio Centro 91.7 FM	Ambato	Ecuador	-1.254	-78.623	https://rr5100.globalhost1.com/8502/stream
Radio Paz Y Bien 104.5 FM	Ambato	Ecuador	-1.254	-78.623	https://s7.myradiostream.com/59906/listen.mp3
Radio Pintando Canas	Ambato	Ecuador	-1.254	-78.623	https://stream.zeno.fm/2yjdzzpavd5uv
Radio Primicias de la Cultura 104.1 FM	Ambato	Ecuador	-1.254	-78.623	https://radio.cedia.org.ec/uta
Rumba 88.9 FM	Ambato	Ecuador	-1.254	-78.623	https://radio.kapchosting.com/8100/stream
SBC Radio TV	Ambato	Ecuador	-1.254	-78.623	https://securestream.radioshd.info:7076/stream/;
Ultra Online	Ambato	Ecuador	-1.254	-78.623	https://rr5100.globalhost1.com/8620/;
GM 7 Radio	Azogues	Ecuador	-2.741	-78.849	https://aacplus.rstreaminghd.com/8010/stream
Radio Amigos Ecuador	Azogues	Ecuador	-2.741	-78.849	https://c20.radioboss.fm:8568/stream
Radio Catedral Azogues	Azogues	Ecuador	-2.741	-78.849	https://c19.radioboss.fm:8035/live
Fluminense 101.5 FM	Babahoyo	Ecuador	-1.802	-79.535	https://mediastreamm.com/8178/stream
Radio Libre FM 93.9	Babahoyo	Ecuador	-1.802	-79.535	https://cloudstream2036.conectarhosting.com/8146/stream?_=1
LVC Radio 95.3 FM	Bahia de Caraquez	Ecuador	-0.619	-80.427	https://securestream.radioshd.info:7034/;
La Voz del Santuario 107.3 FM	Banos	Ecuador	-1.393	-78.427	https://sonic.host-live.com/8304/stream
Oxígeno 100.5 FM	Banos	Ecuador	-1.393	-78.427	https://sonic.host-live.com/8384/stream
El Rocio AM 1370	Biblián	Ecuador	-2.714	-78.889	https://dattavolt.com/8326/Rocio
Radio Tentacion Biblian	Biblián	Ecuador	-2.714	-78.889	https://securestream.radioshd.info:7093/;
Radio Boquerón FM 93.7	Catamayo	Ecuador	-3.988	-79.354	https://stream.hospedandosites.com.br/8038/stream
Radio Semillas de Amor 89.7 FM	Catamayo	Ecuador	-3.988	-79.354	https://stream.zeno.fm/vkn46n2u4f0uv
Radio Web Viva Catamayo	Catamayo	Ecuador	-3.988	-79.354	https://sonic.streamseguro.com/8116/stream
Radio WG Milenio FM 92.5	Catamayo	Ecuador	-3.988	-79.354	https://sonic.streamseguro.com/8122/;
Nuevo Amanecer FM 87.7	Cayambe	Ecuador	0.043	-78.146	http://aacplus.rstreaminghd.com:8042/;
Radio La Voz de Ingapirca 94.5 FM	Cañar	Ecuador	-2.559	-78.939	https://stream.zeno.fm/k51xpp3fmzzuv
Radio Coqueta FM 96.5	Chone	Ecuador	-0.699	-80.098	https://rr5100.globalhost1.com/8158/;
Radio Hechos Ecuador	Chone	Ecuador	-0.699	-80.098	https://radiohechosecuador.com/live
Construye Radio	Cuenca	Ecuador	-2.900	-79.006	https://altair.streamerr.co/stream/8160
Cosmos Soft	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8102/CosmosSoft
Gold Radio TV	Cuenca	Ecuador	-2.900	-79.006	https://us4new.listen2myradio.com:2199/listen.php?port=12015&type=s1&mount=/stream
La 96.1	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8150/stream
La Chismosa 104.1 FM	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8256/stream
La Super Deportiva 91.7 FM	Cuenca	Ecuador	-2.900	-79.006	http://191.100.20.89:8001
La Voz del Tomebamba	Cuenca	Ecuador	-2.900	-79.006	https://streamingecuador.net:8074/lavozdeltomebamba
La X FM	Cuenca	Ecuador	-2.900	-79.006	https://smartstreamec.com/8016/stream
Maggica FM 92.1	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8192/stream
Mega 103.3 FM	Cuenca	Ecuador	-2.900	-79.006	https://smartstreamec.com/8042/stream
Radio Activa FM 88.5	Cuenca	Ecuador	-2.900	-79.006	https://smartstreamec.com/8028/activa
Radio Antena 1	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8202/stream
Radio Candela Online	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8318/stream
Radio Católica Cuenca 98.1 FM	Cuenca	Ecuador	-2.900	-79.006	https://radiohdstreaming.com/radio/8230/catolica
Radio Complice FM 99.7	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8422/stream
Radio Equidad	Cuenca	Ecuador	-2.900	-79.006	https://radiohdstreaming.com/listen/equidad/radio
Radio Hit FM	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8398/stream
Radio Incendiaria	Cuenca	Ecuador	-2.900	-79.006	https://pluralgo.radioca.st/bakanfm
Radio K1	Cuenca	Ecuador	-2.900	-79.006	https://radios.mipanel.stream:6820/;
Radio Studio54	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8194/stream
Radio UDA	Cuenca	Ecuador	-2.900	-79.006	https://udaradio.uazuay.edu.ec:8443/radiouda/;
Retro - Activa Radio	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8324/LaRetro
Smart FM 94.1	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8196/stream
Sonido 102	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8022/stream
Super FM 94.9	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8028/stream
Vision FM 106.1	Cuenca	Ecuador	-2.900	-79.006	https://dattavolt.com/8200/stream
W Radio Ecuador	Cuenca	Ecuador	-2.900	-79.006	https://radio.mipanel.stream:6868/;
Mix 105.5 FM	Esmeraldas	Ecuador	0.968	-79.652	https://sonic.cloudstreaming.eu/8022/stream
Radio Chachi 89.5 FM	Esmeraldas	Ecuador	0.968	-79.652	https://servidor34-1.brlogic.com:7354/live
Radio La Voz de su Amigo 96.3 FM	Esmeraldas	Ecuador	0.968	-79.652	https://ss.ecuastreamhd.com:8138/VozAmigo
Guagrahuma Radio	Gualel	Ecuador	-3.778	-79.373	https://sv2.globalhostlive.com/proxy/guagrahuma/stream
Radio Altura 93.5 FM	Guanujo	Ecuador	-1.559	-79.009	https://stream.zeno.fm/8mhlb5qojuktv
11Q FM	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.net:8012/radio11q
America FM 93.3	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.net:9101/stream
Chicha Online Radio	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.com:7034/stream
DiBlu FM 88.9	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.com:8890/diblu
Ecuador Comunicación Radio	Guayaquil	Ecuador	-2.171	-79.922	https://sonicpanel.zonaradio.net:7089/stream
Fenixmar FM 101.7	Guayaquil	Ecuador	-2.171	-79.922	https://fenixmarfm.makrodigital.com/stream/fenixmarfm
Huellas De Fe	Guayaquil	Ecuador	-2.171	-79.922	https://stream.vocesparatumarca.net/8102/stream
i99 FM 98.9	Guayaquil	Ecuador	-2.171	-79.922	https://rr5100.globalhost1.com/8180/stream
Infinito Music Radio	Guayaquil	Ecuador	-2.171	-79.922	https://stream.zeno.fm/09y60h3vphruv
KCH 90.9 FM	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.net:7075/stream
La Otra 94.9 FM	Guayaquil	Ecuador	-2.171	-79.922	https://laotrafm.makrodigital.com/stream/laotrafmguayaquil
La Radio Redonda 99.3 FM	Guayaquil	Ecuador	-2.171	-79.922	https://laredondafm.makrodigital.com:9550/stream
La Voz de María 88.1 FM	Guayaquil	Ecuador	-2.171	-79.922	https://audio7.ecuamedia.cc/8004/stream
Memory Radio Love	Guayaquil	Ecuador	-2.171	-79.922	https://stream.zeno.fm/cr5yykw9ed0uv
Onda Positiva FM 94.1	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.net:8011/radioondapositiva
Que Buena 100.1 FM	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.com:7054/stream
Radio Antena 3	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.com:9170/stream
Radio Atalaya AM 680	Guayaquil	Ecuador	-2.171	-79.922	https://s2.free-shoutcast.com/stream/18082
Radio Bacan Stereo	Guayaquil	Ecuador	-2.171	-79.922	https://cloudstream2032.conectarhosting.com/8034/stream/;
Radio Canela Guayas 90.5 FM	Guayaquil	Ecuador	-2.171	-79.922	https://canelaradio.makrodigital.com/stream/canelaradioguayaquil
Radio Caravana	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.com:8006/radiocaravana
Radio Cristal 870 AM	Guayaquil	Ecuador	-2.171	-79.922	https://radiocristal.makrodigital.com/stream/radiocristal
Radio Disney Ecuador	Guayaquil	Ecuador	-2.171	-79.922	https://playerservices.streamtheworld.com/api/livestream-redirect/DISNEY_ECU_GY.mp3
Radio Elite FM 99.7	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.net:8135/radioelite
Radio HCJB-2	Guayaquil	Ecuador	-2.171	-79.922	https://hcjb2.makrodigital.com/stream/hcjb2
Radio Jesús Fuente de Vida	Guayaquil	Ecuador	-2.171	-79.922	https://stream.zeno.fm/0e1qunxd9zquv
Radio MakroDigital	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.net:7000/stream
Radio Mágica 87.7	Guayaquil	Ecuador	-2.171	-79.922	https://usa10.fastcast4u.com:1680/;
Radio Pasion	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.net:7500/stream
Radio Punto Rojo	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.com:8970/stream
Radio Romance	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.com:9010/stream
Radio Rumba 107.3 FM	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.net:8078/radiorumbanetwork
Radio Sucre 700 AM	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.net:8076/radiosucre
Radio Tropicana 96.5 FM	Guayaquil	Ecuador	-2.171	-79.922	https://streamingecuador.net:8167/radiotropicana
Radio UArtes	Guayaquil	Ecuador	-2.171	-79.922	https://streamer.radio.co/se440ad747/listen
UPS en línea	Guayaquil	Ecuador	-2.171	-79.922	https://stream.gradio.net/ups
Radio CRO AM 920	Huaquillas	Ecuador	-3.476	-80.223	http://104.236.242.130:8000/;
Radio Genesis 107.5 FM	Huaquillas	Ecuador	-3.476	-80.223	https://sv2.globalhostlive.com/proxy/genesis/stream
America Ibarra	Ibarra	Ecuador	0.347	-78.132	https://streamingecuador.net/stream/americaibarra
EGC Radio 107.5 FM	Ibarra	Ecuador	0.347	-78.132	https://ic2.streaminglatam.com:8080/grancolombia
FM Ritmo 103.5	Ibarra	Ecuador	0.347	-78.132	https://streamingecuador.net:7029/stream
La Mega 99.nueve	Ibarra	Ecuador	0.347	-78.132	https://usa3.fastcast4u.com/proxy/lamega?mp=/stream
La Naranja FM 93.9	Ibarra	Ecuador	0.347	-78.132	https://streamingecuador.com/stream/lanaranja
Señal Pirata Ibarra	Ibarra	Ecuador	0.347	-78.132	https://sonicpanel.zonaradio.net/8308/stream
X FM 94.7 Ecuador	Ibarra	Ecuador	0.347	-78.132	https://streamingecuador.net:8036/stream
Radio Alfaro 96.1 FM	Jipijapa	Ecuador	-1.353	-80.583	https://aacplus.rstreaminghd.com:7042/stream
La Fantástica 94.3	La Maná	Ecuador	-0.941	-79.232	https://centova.streamrdm.com:4162/stream
Color Stereo 105.3 FM	Latacunga	Ecuador	-0.934	-78.615	https://rr5100.globalhost1.com/8130/stream
Radio Kichwa FM 100.1	Latacunga	Ecuador	-0.934	-78.615	https://ecuamedios.net:10994/stream
Radio Latacunga AM 1080	Latacunga	Ecuador	-0.934	-78.615	http://aler.org:8000/amLatacunga
Radio Novedades AM 1100	Latacunga	Ecuador	-0.934	-78.615	https://stream.zeno.fm/rnuj9iesyyotv
Ecuador y su Música	Loja	Ecuador	-4.008	-79.211	https://sonic.streamseguro.com/8070/stream
Ecuasur 102.1 FM	Loja	Ecuador	-4.008	-79.211	https://stream.hospedandosites.com.br/8092/stream
Kocodrilo Radio 104.5 FM	Loja	Ecuador	-4.008	-79.211	https://streaming.radioestacion4.com:8082/;
Latidos 89.3 FM	Loja	Ecuador	-4.008	-79.211	https://sonic.streamseguro.com/8060/stream
Loarte Stereo	Loja	Ecuador	-4.008	-79.211	https://sv2.globalhostlive.com/proxy/ltestereo/stream
OE Radio 94.1 FM	Loja	Ecuador	-4.008	-79.211	https://eu1.fastcast4u.com/proxy/oeradio/stream
Radio Activa	Loja	Ecuador	-4.008	-79.211	https://usa13.fastcast4u.com/proxy/radioactivahd?mp=/1
Radio Corporación 97.3 FM	Loja	Ecuador	-4.008	-79.211	https://accplus.tecnohost.ec/8006/stream
Radio Planeta Sur 106.1 FM	Loja	Ecuador	-4.008	-79.211	https://streaming.radioestacion4.com/8096/stream
Radio Poder 95.3 FM	Loja	Ecuador	-4.008	-79.211	https://streamingecuador.net:7044/radiopoder
SR Radio	Loja	Ecuador	-4.008	-79.211	https://stream.hospedandosites.com.br/8098/stream
UNL Radio 98.5	Loja	Ecuador	-4.008	-79.211	https://radio.cedia.org.ec/unl-radio
Stereo Macara FM 104.5	Macara	Ecuador	-4.385	-79.943	https://sonic.streamseguro.com/8160/stream
Radio Olimpica FM 97.7	Macas	Ecuador	-2.307	-78.120	https://ecuamedios.net/9314/;
Zona Cálida	Macas	Ecuador	-2.307	-78.120	https://dattavolt.com/8170/stream
Bendicion Stereo	Machala	Ecuador	-3.258	-79.955	https://sv2.globalhostlive.com/proxy/bendistereo/stream3
Coqueta 106.3 FM	Machala	Ecuador	-3.258	-79.955	https://sv2.globalhostlive.com/proxy/coqueta/stream
Líder Internacional 101.5 FM	Machala	Ecuador	-3.258	-79.955	https://sv2.globalhostlive.com/proxy/lider/stream
Machala Móvil Radio	Machala	Ecuador	-3.258	-79.955	https://stream.zeno.fm/okkzim3i3jctv
Radio Dorada 95.5 FM	Machala	Ecuador	-3.258	-79.955	https://radiohdstreaming.com/listen/dorada/dorada
Radio Gaviota 105.1 FM	Machala	Ecuador	-3.258	-79.955	https://streamingecuador.net:9000/radiogaviota
Radio La Chueka	Machala	Ecuador	-3.258	-79.955	https://sp.dattavolt.com/8182/stream
Radio Salsa Online	Machala	Ecuador	-3.258	-79.955	https://usa15.fastcast4u.com/proxy/erenteri?mp=/1
Radio Sentimiento Latino	Machala	Ecuador	-3.258	-79.955	https://eu4.fastcast4u.com/proxy/sentimie?mp=/1/live
Super Sol 96.3 FM	Machala	Ecuador	-3.258	-79.955	https://streamingecuador.com:8002/radiosupersol
Radio La Voz AM 1570	Manta	Ecuador	-0.968	-80.709	http://www.charlesescobar.com:8000/lavoz1570
Radio Modelo FM 97.7	Manta	Ecuador	-0.968	-80.709	https://usa3.lhdserver.es:8197/stream
Radio Ultimito Mix	Manta	Ecuador	-0.968	-80.709	https://stream.zeno.fm/1g4mf0b3ziouv
Radio Sucumbíos FM 105.3	Nueva Loja	Ecuador	0.085	-76.894	http://aler.org:8000/radiosucumbios.mp3
Radio Cafe Internacional	Olmedo	Ecuador	-3.935	-79.647	https://sonicpanel.zonaradio.net/8250/stream
La Travoltosa 101.9 FM	Otavalo	Ecuador	0.234	-78.261	https://radio.kapchosting.com/8004/stream
Radio Ilumán 106.7 FM	Otavalo	Ecuador	0.234	-78.261	https://streamingecuador.net:9016/radioiluman
Paltas Stereo FM	Paltas	Ecuador	-3.217	-79.183	https://radio.kapchosting.com:7006/;
Constelación Radio 91.7 FM	Paute	Ecuador	-2.796	-78.767	https://sonicpanel.zonaradio.net/8016/stream
Radio Imperio 90.9 FM	Pedernales	Ecuador	0.069	-80.055	https://securestream.radioshd.info:7091/stream/;
VIBE Recuerdo	Pichincha	Ecuador	-1.044	-79.827	https://stream.zeno.fm/rjule5vsaaovv
Radio Nexo 92.5 FM	Pimampiro	Ecuador	0.391	-77.941	https://streamingecuador.net:7004/stream
Radio Impacto 107.9	Pinas	Ecuador	-3.680	-79.683	https://cast.uncuartocomunicacion.com/listen/radioimpacto/live
Sono Onda 99.7 FM	Portoviejo	Ecuador	-1.055	-80.452	https://usa3.lhdserver.es:8043/stream
UTM Radio	Portoviejo	Ecuador	-1.055	-80.452	https://radio.utm.edu.ec:8085/live
Radio Santa Cruz 88.7 FM	Puerto Ayora	Ecuador	-0.743	-90.315	https://streamingecuador.net:8007/radiosantacruz
Aventura FM 107.1	Puyo	Ecuador	-1.493	-78.000	https://securestream.radioshd.info:7062/;
Pantera FM 103.1	Puyo	Ecuador	-1.493	-78.000	https://securestream.radioshd.info:7088/;
Radio Super Tropicana 105.9 FM	Puyo	Ecuador	-1.493	-78.000	https://s47.myradiostream.com/15636/listen.mp3
Ritmo 93.9 FM	Puyo	Ecuador	-1.493	-78.000	https://securestream.radioshd.info:7087/;
Favorita FM 98.3	Quevedo	Ecuador	-1.023	-79.460	https://streamingecuador.com:7002/stream
PM Radio Quevedo	Quevedo	Ecuador	-1.023	-79.460	https://as100.globalhost1.com/8010/stream
Radio Ondas Quevedeñas	Quevedo	Ecuador	-1.023	-79.460	https://streamingecuador.net:7009/ondasquevedenas
RVT Satelital 91.5 FM	Quevedo	Ecuador	-1.023	-79.460	http://rvtradio.com:8000/stream
3 Marías Stereo	Quito	Ecuador	-0.223	-78.514	https://stream.zeno.fm/pt6vmuh1em8uv
America Estereo FM 104.5	Quito	Ecuador	-0.223	-78.514	https://streamingecuador.com:7030/stream
Area Deportiva FM 99.3	Quito	Ecuador	-0.223	-78.514	https://cast.uncuartocomunicacion.com/radio/8020/live
Blue Radio	Quito	Ecuador	-0.223	-78.514	https://streamingecuador.net:7061/stream
Canela FM 106.5	Quito	Ecuador	-0.223	-78.514	https://canelaradio.makrodigital.com/stream/canelaradioquito
Celebra la Vida Radio	Quito	Ecuador	-0.223	-78.514	http://163.172.77.142:9168/stream
Ciberadio	Quito	Ecuador	-0.223	-78.514	https://grupomundodigital.com:8549/stream
Ciracu	Quito	Ecuador	-0.223	-78.514	https://sv70.ecuaradiotv.net:8000/ciracuhq
Conexión Radio Ecuador 87.7 FM	Quito	Ecuador	-0.223	-78.514	https://stream.zeno.fm/mzn7jz9msiyuv
CORAPE	Quito	Ecuador	-0.223	-78.514	https://stream.corape.org.ec/stream
Cotaesg Radio Station	Quito	Ecuador	-0.223	-78.514	https://s31.radiolize.com/radio/8090/radio.mp3
Ecuador Activo	Quito	Ecuador	-0.223	-78.514	http://5.135.183.124:8233/stream
Emisoras Gran Colombia 1410 AM	Quito	Ecuador	-0.223	-78.514	https://ic2.streaminglatam.com:8080/grancolombiauio
Exa FM 92.5	Quito	Ecuador	-0.223	-78.514	https://playerservices.streamtheworld.com/api/livestream-redirect/ECUADOR_SC
Exitos FM	Quito	Ecuador	-0.223	-78.514	https://radiostreaming.pro/8080/stream
FB Radio 105.7 FM	Quito	Ecuador	-0.223	-78.514	https://streamingecuador.com:7032/stream
FM Mundo 98.1	Quito	Ecuador	-0.223	-78.514	https://streamingecuador.com:9810/stream
HCHV Zaracay FM 100.5	Quito	Ecuador	-0.223	-78.514	https://stream.zeno.fm/as3xhhc0ts8uv
HCJB FM 89.3	Quito	Ecuador	-0.223	-78.514	https://streamingecuador.com:8287/hcjb
Hot 106 Radio Fuego	Quito	Ecuador	-0.223	-78.514	https://vmi2260630.contaboserver.net/listen/hot106/live
JC Radio La Bruja	Quito	Ecuador	-0.223	-78.514	https://s7.yesstreaming.net:8040/stream
La Otra FM 91.3	Quito	Ecuador	-0.223	-78.514	https://laotrafm.makrodigital.com/stream/laotrafmquito
La Pipol Online	Quito	Ecuador	-0.223	-78.514	https://cast2.my-control-panel.com/proxy/radio120/;
La Rumbera FM 99.7	Quito	Ecuador	-0.223	-78.514	https://cast.uncuartocomunicacion.com:8040/live_hd
Latina FM 88.1	Quito	Ecuador	-0.223	-78.514	https://usa3.lhdserver.es:8087/stream
Libreria Espiritual Radio	Quito	Ecuador	-0.223	-78.514	https://radio.kapchosting.com/8012/stream
Los 40 Ecuador	Quito	Ecuador	-0.223	-78.514	https://streamingecuador.com:7051/stream
Mach Deportes FM 91.7	Quito	Ecuador	-0.223	-78.514	https://streamingecuador.net:9170/machdeportes
Majestad FM 89.7	Quito	Ecuador	-0.223	-78.514	https://sonicpanel.tmcreativos.com/8084/stream
Pública FM 105.3	Quito	Ecuador	-0.223	-78.514	https://comep.radioca.st/stream
Radio Armonica FM 98.9	Quito	Ecuador	-0.223	-78.514	https://armonicafm.makrodigital.com:9570/stream
Radio CCE 940 AM	Quito	Ecuador	-0.223	-78.514	https://grupomundodigital.com:9200/stream
Radio Centro 97.7 FM	Quito	Ecuador	-0.223	-78.514	https://sp.dattavolt.com/8076/stream
Radio Cultura FM 100.9	Quito	Ecuador	-0.223	-78.514	https://grupomundodigital.com:8700/stream
Radio Dimension Ecuador	Quito	Ecuador	-0.223	-78.514	https://securestream.radioshd.info:7079/stream
Radio Distrito FM 102.9	Quito	Ecuador	-0.223	-78.514	https://grupomundodigital.com:8577/stream
Radio Energia FM	Quito	Ecuador	-0.223	-78.514	https://servers58.com/proxy/energiafm/stream
Radio Eres FM 93.3	Quito	Ecuador	-0.223	-78.514	https://sv70.ecuaradiotv.net:8000/eres933
Radio Evolución 107.7 FM	Quito	Ecuador	-0.223	-78.514	https://stream.gradio.net/evolucion
Radio Francisco Stereo 102.5 FM	Quito	Ecuador	-0.223	-78.514	https://sonicpanel.zonaradio.net/8252/stream
Radio La Poderosa 92.9 FM	Quito	Ecuador	-0.223	-78.514	https://streamingecuador.net:7045/stream
Radio La Red FM 102.1	Quito	Ecuador	-0.223	-78.514	https://icecast.radiolared.com.ec/radiolared
Radio La Vida	Quito	Ecuador	-0.223	-78.514	https://radio30.virtualtronics.com/proxy/radiolavida?mp=/stream/;
Radio Marañon 1220 AM	Quito	Ecuador	-0.223	-78.514	https://as100.globalhost1.com/8120/stream
Radio María Ecuador FM 100.1	Quito	Ecuador	-0.223	-78.514	https://radioserver11.profesionalhosting.com:19069/stream
Radio Nacional Del Ecuador 106.9 FM	Quito	Ecuador	-0.223	-78.514	https://sonicpanel.zonaradio.net/8190/stream
Radio Pichincha 95.3 FM	Quito	Ecuador	-0.223	-78.514	https://icecast.radiopichincha.com/radiopichincha
Radio Platinum FM 90.9	Quito	Ecuador	-0.223	-78.514	https://streamingecuador.com:8160/radioplatinum
Radio Play Internacional	Quito	Ecuador	-0.223	-78.514	https://radio35.virtualtronics.com:20109//;
Radio Raiz 1140 AM	Quito	Ecuador	-0.223	-78.514	https://cloud37.ecuatel.com:8000/raizam
Radio Rockett	Quito	Ecuador	-0.223	-78.514	https://a2.asurahosting.com:8390/radio.mp3
Radio Serenidad	Quito	Ecuador	-0.223	-78.514	https://usa3.lhdserver.es:8103/stream
Radio Sonorama	Quito	Ecuador	-0.223	-78.514	https://radio.kapchosting.com/8080/stream
Radio Sucesos FM 101.7	Quito	Ecuador	-0.223	-78.514	https://icecast.radiosucesos.fm/radiosucesos
Radio SuVersión	Quito	Ecuador	-0.223	-78.514	https://radio.radiosuversion.com/listen/suversion/radio.mp3
Radio Unica 94.5 FM	Quito	Ecuador	-0.223	-78.514	https://streamingecuador.net:8035/stream
Sabbath Radio Ec	Quito	Ecuador	-0.223	-78.514	https://sonicpanel.zonaradio.net:7099/stream
Sensacion 800 AM	Quito	Ecuador	-0.223	-78.514	https://streamingecuador.net:7027/stream
Urbana FM	Quito	Ecuador	-0.223	-78.514	https://urbanafm.makrodigital.com:9540/stream
